STATE/UT,CRIME HEAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Andhra Pradesh,RAPE,871,1002,946,1016,935,1049,1070,1257,1188,1362,1442,1341
Arunachal Pradesh,RAPE,33,38,31,42,35,37,48,42,59,47,42,46
Assam,RAPE,817,970,1095,1171,1238,1244,1437,1438,1631,1721,1700,1716
Bihar,RAPE,888,1040,985,1390,1147,1232,1555,1302,929,795,934,927
Chhattisgarh,RAPE,959,992,898,969,990,995,982,978,976,1012,1053,1034
Goa,RAPE,12,12,31,37,20,21,20,30,47,36,29,55
Gujarat,RAPE,286,267,236,339,324,354,316,374,433,408,439,473
Haryana,RAPE,398,361,353,386,461,608,488,631,603,720,733,668
Himachal Pradesh,RAPE,124,137,126,153,141,113,159,157,183,160,168,183
Jammu & Kashmir,RAPE,169,192,211,218,201,250,288,219,237,245,277,303
Jharkhand,RAPE,567,797,712,797,753,799,855,791,719,773,784,812
Karnataka,RAPE,293,292,321,291,343,400,436,446,509,586,636,621
Kerala,RAPE,562,499,394,480,478,601,512,568,568,634,1132,1019
Madhya Pradesh,RAPE,2851,2891,2738,2875,2921,2900,3010,2937,2998,3135,3406,3425
Maharashtra,RAPE,1302,1352,1268,1388,1545,1500,1451,1558,1483,1599,1701,1839
Manipur,RAPE,20,14,18,31,25,40,20,38,31,34,53,63
Meghalaya,RAPE,26,38,40,54,63,74,82,88,112,149,130,164
Mizoram,RAPE,52,76,54,20,37,72,83,77,83,92,77,103
Nagaland,RAPE,17,17,14,18,17,23,13,19,22,16,23,21
Odisha,RAPE,790,691,725,770,799,985,939,1113,1023,1025,1112,1458
Punjab,RAPE,298,299,380,390,398,442,519,517,511,546,479,680
Rajasthan,RAPE,1049,1051,1050,1038,993,1085,1238,1355,1519,1571,1800,2049
Sikkim,RAPE,8,6,10,3,18,20,24,20,18,18,16,34
Tamil Nadu,RAPE,423,534,557,618,571,457,523,573,596,686,677,737
Tripura,RAPE,102,108,114,160,162,189,157,204,190,238,205,229
Uttar Pradesh,RAPE,1958,1415,911,1397,1217,1314,1648,1871,1759,1563,2042,1963
Uttarakhand,RAPE,74,89,107,115,133,147,117,87,111,121,129,148
West Bengal,RAPE,709,759,1002,1475,1686,1731,2106,2263,2336,2311,2363,2046
A&N Islands,RAPE,3,2,2,10,4,6,3,12,18,24,13,12
Chandigarh,RAPE,18,18,18,19,33,19,22,20,29,31,27,27
D&N Haveli,RAPE,6,4,1,7,5,6,7,6,4,3,4,3
Daman & Diu,RAPE,0,0,5,1,2,3,1,0,1,1,1,5
Delhi UT,RAPE,381,403,490,551,658,623,598,466,469,507,572,706
Lakshadweep,RAPE,0,1,2,0,0,0,1,2,1,0,0,0
Puducherry,RAPE,9,6,2,4,6,9,9,8,1,3,7,13
All India,RAPE,16075,16373,15847,18233,18359,19348,20737,21467,21397,22172,24206,24923
Andhra Pradesh,KIDNAPPING & ABDUCTION,765,854,931,1030,995,1329,1564,1396,1526,1531,1612,1403
Arunachal Pradesh,KIDNAPPING & ABDUCTION,55,38,51,41,39,51,44,47,28,46,60,58
Assam,KIDNAPPING & ABDUCTION,1070,1276,1351,1552,1456,1544,1471,1789,2092,2767,3192,3360
Bihar,KIDNAPPING & ABDUCTION,518,744,674,997,929,1084,1260,1789,1986,2569,3050,3789
Chhattisgarh,KIDNAPPING & ABDUCTION,171,154,149,174,184,178,181,216,229,279,365,350
Goa,KIDNAPPING & ABDUCTION,6,5,13,10,12,10,7,28,22,18,17,16
Gujarat,KIDNAPPING & ABDUCTION,857,807,859,905,916,945,1089,1119,1162,1290,1442,1527
Haryana,KIDNAPPING & ABDUCTION,297,290,271,292,344,431,554,644,659,714,733,900
Himachal Pradesh,KIDNAPPING & ABDUCTION,105,116,96,99,102,109,150,137,122,162,191,152
Jammu & Kashmir,KIDNAPPING & ABDUCTION,504,596,615,632,658,723,707,656,825,840,1023,1041
Jharkhand,KIDNAPPING & ABDUCTION,279,178,262,178,283,410,534,499,517,696,660,786
Karnataka,KIDNAPPING & ABDUCTION,271,300,244,286,312,328,390,405,408,586,715,1070
Kerala,KIDNAPPING & ABDUCTION,97,91,102,142,129,202,177,166,173,184,221,214
Madhya Pradesh,KIDNAPPING & ABDUCTION,668,639,608,584,604,617,701,736,841,1030,1088,1127
Maharashtra,KIDNAPPING & ABDUCTION,611,650,626,787,851,921,967,998,926,1124,1252,1140
Manipur,KIDNAPPING & ABDUCTION,62,82,71,71,69,79,83,87,97,107,116,133
Meghalaya,KIDNAPPING & ABDUCTION,11,10,10,18,19,25,22,25,26,37,37,24
Mizoram,KIDNAPPING & ABDUCTION,1,2,2,0,0,1,0,1,0,0,0,3
Nagaland,KIDNAPPING & ABDUCTION,6,4,3,4,9,3,6,7,10,6,3,10
Odisha,KIDNAPPING & ABDUCTION,434,432,373,423,547,577,660,762,799,912,1008,1364
Punjab,KIDNAPPING & ABDUCTION,324,354,295,311,329,418,545,514,513,576,517,689
Rajasthan,KIDNAPPING & ABDUCTION,2165,2019,1750,1881,1549,1553,1694,1863,2310,2477,2713,2697
Sikkim,KIDNAPPING & ABDUCTION,2,2,0,4,2,7,9,4,6,6,10,10
Tamil Nadu,KIDNAPPING & ABDUCTION,607,714,632,692,783,718,1097,1160,1133,1464,1743,1693
Tripura,KIDNAPPING & ABDUCTION,35,48,29,54,43,62,81,110,92,91,116,114
Uttar Pradesh,KIDNAPPING & ABDUCTION,2879,2298,1499,2324,2256,2551,3363,4439,5078,5468,7525,7910
Uttarakhand,KIDNAPPING & ABDUCTION,126,155,134,127,125,183,227,222,247,249,283,256
West Bengal,KIDNAPPING & ABDUCTION,695,694,801,1018,1039,1199,1590,1907,2187,2764,3711,4168
A&N Islands,KIDNAPPING & ABDUCTION,2,1,2,3,1,5,9,13,14,8,12,7
Chandigarh,KIDNAPPING & ABDUCTION,50,47,28,43,45,57,46,42,36,28,46,66
D&N Haveli,KIDNAPPING & ABDUCTION,2,5,4,7,9,14,6,11,9,10,8,9
Daman & Diu,KIDNAPPING & ABDUCTION,3,2,1,0,2,1,1,1,0,2,2,0
Delhi UT,KIDNAPPING & ABDUCTION,964,893,797,881,1106,1066,1167,1136,1655,1740,2085,2160
Lakshadweep,KIDNAPPING & ABDUCTION,0,0,0,0,0,0,0,1,0,0,0,0
Puducherry,KIDNAPPING & ABDUCTION,3,6,13,8,3,13,14,9,13,14,9,16
ALL INDIA K&A,KIDNAPPING & ABDUCTION,14645,14506,13296,15578,15750,17414,20416,22939,25741,29795,35565,38262
Andhra Pradesh,DOWRY DEATH,420,449,466,512,443,519,613,556,546,588,599,504
Arunachal Pradesh,DOWRY DEATH,0,0,0,0,0,1,0,0,0,0,0,1
Assam,DOWRY DEATH,59,70,60,74,99,105,100,103,170,175,121,140
Bihar,DOWRY DEATH,859,927,909,1029,1014,1188,1172,1210,1295,1257,1413,1275
Chhattisgarh,DOWRY DEATH,70,85,79,71,100,103,100,106,128,115,104,81
Goa,DOWRY DEATH,2,2,2,2,2,0,2,2,3,1,1,0
Gujarat,DOWRY DEATH,67,62,54,58,48,50,42,27,24,19,30,21
Haryana,DOWRY DEATH,285,256,222,251,212,255,269,302,281,284,255,258
Himachal Pradesh,DOWRY DEATH,10,6,6,8,2,3,8,3,1,2,4,2
Jammu & Kashmir,DOWRY DEATH,13,18,10,9,5,10,9,21,12,9,11,8
Jharkhand,DOWRY DEATH,217,275,262,275,257,281,303,266,295,276,282,302
Karnataka,DOWRY DEATH,220,233,194,259,261,244,251,259,264,248,267,218
Kerala,DOWRY DEATH,27,17,33,31,21,25,27,31,20,22,15,32
Madhya Pradesh,DOWRY DEATH,609,674,648,751,739,764,742,805,858,892,811,743
Maharashtra,DOWRY DEATH,308,303,368,314,341,387,436,390,341,393,339,329
Manipur,DOWRY DEATH,0,0,0,0,0,0,0,1,0,0,1,0
Meghalaya,DOWRY DEATH,0,0,0,2,1,6,2,2,0,0,1,1
Mizoram,DOWRY DEATH,0,0,0,0,4,0,0,0,0,0,0,0
Nagaland,DOWRY DEATH,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,DOWRY DEATH,294,248,279,319,334,457,461,401,384,388,465,525
Punjab,DOWRY DEATH,159,166,110,113,99,130,133,128,126,121,143,118
Rajasthan,DOWRY DEATH,376,399,389,379,361,394,439,439,436,462,514,478
Sikkim,DOWRY DEATH,0,0,0,0,0,0,0,0,0,1,0,1
Tamil Nadu,DOWRY DEATH,191,243,220,225,215,187,208,207,194,165,152,110
Tripura,DOWRY DEATH,16,16,20,20,34,35,36,16,29,25,30,37
Uttar Pradesh,DOWRY DEATH,2211,1893,1322,1708,1564,1798,2076,2237,2232,2217,2322,2244
Uttarakhand,DOWRY DEATH,56,66,93,82,63,80,70,73,94,75,83,71
West Bengal,DOWRY DEATH,265,273,329,396,446,445,451,451,506,507,510,593
A&N Islands,DOWRY DEATH,0,0,0,0,0,0,1,2,1,0,0,2
Chandigarh,DOWRY DEATH,3,1,1,6,3,10,1,3,2,5,2,5
D&N Haveli,DOWRY DEATH,0,0,0,0,0,1,0,0,0,0,0,0
Daman & Diu,DOWRY DEATH,0,0,1,0,1,0,1,0,0,0,0,0
Delhi UT,DOWRY DEATH,113,135,130,126,114,137,138,129,141,143,142,134
Lakshadweep,DOWRY DEATH,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,DOWRY DEATH,1,5,1,6,4,3,2,2,0,1,1,0
ALL INDIA ,DOWRY DEATH,6851,6822,6208,7026,6787,7618,8093,8172,8383,8391,8618,8233
Andhra Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,3544,3799,4128,3817,3595,4534,4406,4730,5147,4634,4849,4816
Arunachal Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,78,68,43,61,67,63,72,72,58,84,51,67
Assam,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,850,984,878,883,899,1290,789,1272,1342,1400,1193,1840
Bihar,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,562,621,688,704,451,530,853,999,726,534,790,118
Chhattisgarh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1763,1483,1481,1661,1450,1598,1549,1621,1598,1706,1654,1601
Goa,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,17,18,19,23,30,18,20,32,37,36,29,49
Gujarat,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,756,750,722,757,802,736,822,828,727,668,685,745
Haryana,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,478,454,344,403,380,486,417,435,451,476,474,525
Himachal Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,310,326,250,284,286,275,322,295,318,350,331,250
Jammu & Kashmir,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,622,785,875,990,830,960,986,935,972,1038,1194,1322
Jharkhand,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,297,411,424,411,293,414,342,271,276,245,317,284
Karnataka,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1665,1648,1585,1435,1585,1683,1828,1954,2186,2544,2608,2978
Kerala,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1942,2123,1947,2260,2339,2543,2624,2745,2540,2936,3756,3735
Madhya Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,7063,7118,6848,6690,6426,6243,6772,6445,6307,6646,6665,6655
Maharashtra,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2823,2686,2661,2831,3228,3479,3306,3619,3196,3661,3794,3935
Manipur,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,21,58,44,30,25,42,70,57,39,31,38,49
Meghalaya,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,25,23,13,34,44,57,45,54,72,48,74,43
Mizoram,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,52,73,88,66,49,51,66,78,61,75,72,85
